geography,label,geo_level
00,"National (50 States + DC)",N
01,"Alabama",S
02,"Alaska",S
04,"Arizona",S
05,"Arkansas",S
06,"California",S
08,"Colorado",S
09,"Connecticut",S
10,"Delaware",S
11,"District of Columbia",S
12,"Florida",S
13,"Georgia",S
15,"Hawaii",S
16,"Idaho",S
17,"Illinois",S
18,"Indiana",S
19,"Iowa",S
20,"Kansas",S
21,"Kentucky",S
22,"Louisiana",S
23,"Maine",S
24,"Maryland",S
25,"Massachusetts",S
26,"Michigan",S
27,"Minnesota",S
27SDA010,"01 Northwest Minnesota WSA",W
27SDA020,"02 Rural Minnesota CEP WSA",W
27SDA030,"03 Northeast Minnesota WSA",W
27SDA040,"04 City of Duluth WSA",W
27SDA050,"05 Central Minnesota WSA",W
27SDA060,"06 Southwest Minnesota WSA",W
27SDA070,"07 South Central Minnesota WSA",W
27SDA080,"08 Southeast Minnesota WSA",W
27SDA090,"09 Hennepin/Carver WSA",W
27SDA100,"10 City of Minneapolis WSA",W
27SDA120,"12 Anoka County WSA",W
27SDA140,"14 Dakota/Scott County WSA",W
27SDA150,"15 Ramsey County WSA",W
27SDA160,"16 Washington County WSA",W
27SDA170,"17 Stearns/Benton WSA",W
27SDA180,"18 Winona County WSA",W
28,"Mississippi",S
29,"Missouri",S
30,"Montana",S
31,"Nebraska",S
32,"Nevada",S
33,"New Hampshire",S
34,"New Jersey",S
35,"New Mexico",S
36,"New York",S
37,"North Carolina",S
38,"North Dakota",S
39,"Ohio",S
40,"Oklahoma",S
41,"Oregon",S
42,"Pennsylvania",S
44,"Rhode Island",S
45,"South Carolina",S
46,"South Dakota",S
47LWIA01,"01 Local Workforce Investment Area",W
47LWIA02,"02 Local Workforce Investment Area",W
47LWIA03,"03 Local Workforce Investment Area",W
47LWIA04,"04 Local Workforce Investment Area",W
47LWIA05,"05 Local Workforce Investment Area",W
47LWIA06,"06 Local Workforce Investment Area",W
47LWIA07,"07 Local Workforce Investment Area",W
47LWIA08,"08 Local Workforce Investment Area",W
47LWIA09,"09 Local Workforce Investment Area",W
47LWIA10,"10 Local Workforce Investment Area",W
47LWIA11,"11 Local Workforce Investment Area",W
47LWIA12,"12 Local Workforce Investment Area",W
47LWIA13,"13 Local Workforce Investment Area",W
47,"Tennessee",S
48,"Texas",S
49,"Utah",S
50,"Vermont",S
51,"Virginia",S
53,"Washington",S
54,"West Virginia",S
55,"Wisconsin",S
56,"Wyoming",S
420CE175,"175 Central PA WIA",W
420LV070,"070 Lehigh Valley WIA",W
420NC125,"125 North Central WIA",W
420NE055,"055 Lackawanna County WIA",W
420NE075,"075 Luzerne-Schuylkill Counties WIA",W
420NE135,"135 Pocono Counties WIA",W
420NT130,"130 Northern Tier WIA",W
420NW145,"145 West Central Job Partnership WIA",W
420NW170,"170 Northwest WIA",W
420SA100,"100 Southern Alleghenies WIA",W
420SC180,"180 South Central WIA",W
420SE015,"015 Berks County WIA",W
420SE020,"020 Bucks County WIA",W
420SE030,"030 Chester County WIA",W
420SE035,"035 Delaware County WIA",W
420SE060,"060 Lancaster County WIA",W
420SE080,"080 Montgomery County WIA",W
420SE090,"090 Philadelphia County WIA",W
420SW005,"005 Allegheny County WIA",W
420SW045,"045 Westmoreland/Fayette WIA",W
420SW095,"095 City of Pittsburgh WIA",W
420SW110,"110 Tri-County WIA",W
420SW165,"165 Southwest Corner WIA",W
01001,"Autauga, AL",C
01003,"Baldwin, AL",C
01005,"Barbour, AL",C
01007,"Bibb, AL",C
01009,"Blount, AL",C
01011,"Bullock, AL",C
01013,"Butler, AL",C
01015,"Calhoun, AL",C
01017,"Chambers, AL",C
01019,"Cherokee, AL",C
01021,"Chilton, AL",C
01023,"Choctaw, AL",C
01025,"Clarke, AL",C
01027,"Clay, AL",C
01029,"Cleburne, AL",C
01031,"Coffee, AL",C
01033,"Colbert, AL",C
01035,"Conecuh, AL",C
01037,"Coosa, AL",C
01039,"Covington, AL",C
01041,"Crenshaw, AL",C
01043,"Cullman, AL",C
01045,"Dale, AL",C
01047,"Dallas, AL",C
01049,"DeKalb, AL",C
01051,"Elmore, AL",C
01053,"Escambia, AL",C
01055,"Etowah, AL",C
01057,"Fayette, AL",C
01059,"Franklin, AL",C
01061,"Geneva, AL",C
01063,"Greene, AL",C
01065,"Hale, AL",C
01067,"Henry, AL",C
01069,"Houston, AL",C
01071,"Jackson, AL",C
01073,"Jefferson, AL",C
01075,"Lamar, AL",C
01077,"Lauderdale, AL",C
01079,"Lawrence, AL",C
01081,"Lee, AL",C
01083,"Limestone, AL",C
01085,"Lowndes, AL",C
01087,"Macon, AL",C
01089,"Madison, AL",C
01091,"Marengo, AL",C
01093,"Marion, AL",C
01095,"Marshall, AL",C
01097,"Mobile, AL",C
01099,"Monroe, AL",C
01101,"Montgomery, AL",C
01103,"Morgan, AL",C
01105,"Perry, AL",C
01107,"Pickens, AL",C
01109,"Pike, AL",C
01111,"Randolph, AL",C
01113,"Russell, AL",C
01115,"St. Clair, AL",C
01117,"Shelby, AL",C
01119,"Sumter, AL",C
01121,"Talladega, AL",C
01123,"Tallapoosa, AL",C
01125,"Tuscaloosa, AL",C
01127,"Walker, AL",C
01129,"Washington, AL",C
01131,"Wilcox, AL",C
01133,"Winston, AL",C
02013,"Aleutians East, AK",C
02016,"Aleutians West, AK",C
02020,"Anchorage, AK",C
02050,"Bethel, AK",C
02060,"Bristol Bay, AK",C
02068,"Denali, AK",C
02070,"Dillingham, AK",C
02090,"Fairbanks North Star, AK",C
02100,"Haines, AK",C
02105,"Hoonah-Angoon, AK",C
02110,"Juneau, AK",C
02122,"Kenai Peninsula, AK",C
02130,"Ketchikan Gateway, AK",C
02150,"Kodiak Island, AK",C
02158,"Kusilvak, AK",C
02164,"Lake and Peninsula, AK",C
02170,"Matanuska-Susitna, AK",C
02180,"Nome, AK",C
02185,"North Slope, AK",C
02188,"Northwest Arctic, AK",C
02195,"Petersburg, AK",C
02198,"Prince of Wales-Hyder, AK",C
02220,"Sitka, AK",C
02230,"Skagway, AK",C
02240,"Southeast Fairbanks, AK",C
02261,"Valdez-Cordova, AK",C
02275,"Wrangell, AK",C
02282,"Yakutat, AK",C
02290,"Yukon-Koyukuk, AK",C
04001,"Apache, AZ",C
04003,"Cochise, AZ",C
04005,"Coconino, AZ",C
04007,"Gila, AZ",C
04009,"Graham, AZ",C
04011,"Greenlee, AZ",C
04012,"La Paz, AZ",C
04013,"Maricopa, AZ",C
04015,"Mohave, AZ",C
04017,"Navajo, AZ",C
04019,"Pima, AZ",C
04021,"Pinal, AZ",C
04023,"Santa Cruz, AZ",C
04025,"Yavapai, AZ",C
04027,"Yuma, AZ",C
05001,"Arkansas, AR",C
